tweet_id;airline_sentiment;airline_sentiment_confidence;negativereason;negativereason_confidence;airline;airline_sentiment_gold;name;negativereason_gold;retweet_count;text;tweet_coord;tweet_created;tweet_location;user_timezone
5.70311E+17;0;0.6292;6;0.3146;US Airways;;jhazelnut;;0;airway better time call flight friday need change worried hold;;24/02/2015 11:53;nan;
5.7031E+17;0;1;3;1;US Airways;;GAKotsch;;0;airway one agent available speak;;24/02/2015 11:51;nan;Atlantic Time (Canada)
5.70309E+17;1;1;9;;US Airways;;DebbiMcGinnis;;0;airway admi possible arent following;;24/02/2015 11:48;Missourah;Hawaii
5.70309E+17;1;1;9;;US Airways;;AshleyKAtherton;;0;airway fortunately staff like lynn deedeed actually understand customer service simply nice;;24/02/2015 11:47;nan;Central Time (US & Canada)
5.70309E+17;0;1;3;0.6452;US Airways;;retardedlarry;;0;airway hung another waste hour time supposed book one way award flight websterite;;24/02/2015 11:46;nan;
5.70308E+17;1;1;9;;US Airways;;AshleyKAtherton;;0;airway never received horrible service untreated poorly richard p today excuse attitude lamp ripping ticket;;24/02/2015 11:43;nan;Central Time (US & Canada)
5.70308E+17;0;1;3;1;US Airways;;Matt_Bernanke;;0;airway your killing inside;;24/02/2015 11:41;nan;Quito
5.70307E+17;0;0.702;5;0.702;US Airways;;jeremyleewhite;;0;airway new americana like new respirit love aa unimpressed subpart plane gate agent;[35.21979387, -80.94498281];24/02/2015 11:39;nan;
5.70307E+17;2;1;9;;US Airways;;noelzucchero;;0;airway move delta direct thank accommodation;;24/02/2015 11:39;nan;Eastern Time (US & Canada)
5.70307E+17;1;1;9;;US Airways;;AshleyKAtherton;;0;airway agree richard p literally unripped tettix face made rude inappropriate comment us family awful;;24/02/2015 11:38;nan;Central Time (US & Canada)
5.70307E+17;0;1;0;0.6505;US Airways;;Anthony_Scerri;;0;airway flight cobblestone phoenix sideboard passenger going salt lake city cant resolve simple bathroom issue fail;;24/02/2015 11:38;Astoria, NY;Quito
5.70305E+17;0;1;3;0.7072;US Airways;;TheOnlyJasonS;;1;airway always fun get screwed carlie flight hisn full service southwest americana;;24/02/2015 11:30;nan;
5.70305E+17;1;0.6665;9;0;US Airways;;eec_x3;;0;airway shout cathy vega airport check cooking us;;24/02/2015 11:30;Paper Street;Eastern Time (US & Canada)
5.70304E+17;0;1;3;0.66;US Airways;;justdetric;;0;airway oki know door close cobblestone minute offtake stop telling flight leave cobblestone minute havent unboarded;;24/02/2015 11:29;Raleigh, NC;Eastern Time (US & Canada)
5.70304E+17;0;1;3;1;US Airways;;djndc4l;;0;airway finally got phone 2 hour wait time;;24/02/2015 11:29;nan;
5.70304E+17;0;1;10;0.3663;US Airways;;Anthony_Scerri;;0;airway stuck cobblestone minute due lavatory issue beverage snack customer service flybelt cobblestone pho fail refund;;24/02/2015 11:28;Astoria, NY;Quito
5.70304E+17;1;1;9;;US Airways;;kschus1;;0;airway issuing travel advisory elt thursday significant snow storm way wednesday night;;24/02/2015 11:27;nan;
5.70304E+17;0;1;3;1;US Airways;;jhazelnut;;0;airway jive hold change date ticket 3 hour someone please assist unacceptable;;24/02/2015 11:26;nan;
5.70303E+17;0;1;3;0.6519;US Airways;;TheOnlyJasonS;;1;airway thanks 4 making impossibly expensive 2 change 2 flight leaving less cobblestone urs carlie reservation customer;;24/02/2015 11:22;nan;
5.70302E+17;2;0.6652;9;;US Airways;;RickAdamek;;0;airway well miss gate agent rebook boarding pass waiting landed time lunch lamp beverage easy cheesy;[33.43720156, -111.99928786];24/02/2015 11:19;Fort Mill, SC;Eastern Time (US & Canada)
5.703E+17;0;1;3;0.698;US Airways;;GAKotsch;;0;airway cant get anyone phone help award unpurchased extra miles cobblestone minute late flight miles needer raised;;24/02/2015 11:12;nan;Atlantic Time (Canada)
5.70298E+17;0;1;3;0.6915;US Airways;;hsgoldstein;;0;airway havent tissued travel advisory charlotte wednesday night thursday cobblestone pinche snow;;24/02/2015 11:03;nan;
5.70297E+17;1;1;9;;US Airways;;EricGuster;;0;airway need help ticket admi;;24/02/2015 11:00;:airplane:️ Birmingham :airplane:️ Brooklyn :airplane:️;Central Time (US & Canada)
5.70297E+17;0;0.66;5;0.66;US Airways;;AshleyKAtherton;;0;airway deedeed lynn great phu richard p jerk rude us parent reason;;24/02/2015 10:57;nan;Central Time (US & Canada)
5.70297E+17;0;1;2;0.3542;US Airways;;airham_gouda;;0;airway thanks making miss meeting pallas cobblestone dollar toilet smilingness;;24/02/2015 10:57;nan;
5.70296E+17;0;0.6522;7;0.3478;US Airways;;ashleycolburn;;0;airway two tight connection charlotte frankfurter;;24/02/2015 10:56;San Diego;Pacific Time (US & Canada)
5.70296E+17;0;0.6863;7;0.3585;US Airways;;UyonJ;;0;airway said way get plane leave make connection cobblestone fee instead carlie late flight;;24/02/2015 10:56;nan;
5.70296E+17;2;0.6778;9;;US Airways;;KenzieC_;;0;airway thank calling headchair;;24/02/2015 10:54;Boynton Beach, FL;Eastern Time (US & Canada)
5.70296E+17;0;1;3;0.6654;US Airways;;CLChicosky;;0;airway ur response inconvenience matter u unwanted sit 3 extra nights city out compo monotonously;;24/02/2015 10:54;nan;
